name,Nº total de hogares,Tamaño medio del hogar,Valor catastral medio de los bienes inmuebles: personas físicas (2016),Valor catastral medio de los bienes inmuebles: personas jurídicas (2016),Superficie media de la vivienda (m2) en transacción (2016),Duración media del crédito (meses) en transacción de vivienda (2016),Nº Total de viviendas familiares (Censo Edificios y Viviendas 2011),Principal,Secundaria,Desocupada,Otro tipo
Numancia,17805,2.5768042685,46422.36,107402.85,59.46,283,20244,16225,1249,2572,198
Pavones,3258,2.7977286679,99042.85,423511.33,82.32,313,3567,3299,112,151,5
Horcajo,2180,2.9518348624,104109.32,102880.39,101, - ,2181,1591,155,429,6
Marroquina,10818,2.5296727676,84431.65,232850.89,82.07,296,11952,10838,349,683,82
Media Legua,7136,2.4959360987,89878.78,256487.58,78.44,287,8051,7250,377,394,30
Fontarrón,6793,2.4588547034,72059.14,219582.51,67.52,313,7868,7093,264,473,38
Vinateros,7200,2.32875,74716.87,255813.42,72.38,308,8200,7311,374,484,31
Ventas,19770,2.3928174001,69785.62,255911.37,62.45,279,23087,19430,1159,2376,122
Pueblo Nuevo,23577,2.5624549349,70934.97,152191.16,70.18,317,26064,22030,1176,2761,97
Quintana,10194,2.3721797136,78983.09,158462.55,67.75,272,12189,9818,922,1412,37
Concepción,8956,2.2925413131,85541.22,186675.05,62.28,270,10987,8447,1080,1359,101
San Pascual,7475,2.4216722408,95161.36,484612.01,81.49,267,9121,7424,886,743,68
San Juan Bautista,4782,2.5861564199,102225.64,449324.92,104.84,305,5671,4343,458,703,167
Colina,2482,2.47,111969,258885,92.72,271,2997,2154,492,271,80
Atalaya,566,2.76,168456,292914,90.73, - ,776,494,87,194,1
Costillares,7857,2.79,112654,301334,109.50,315,8663,7050,705,869,39
Palomas,2168,3.082103321,140182.93,386194.24,184.04,292,1831,1403,307,119,2
Piovera,4755,3.0439537329,206896.75,366638.89,173.09,271,5366,3811,1148,398,9
Canillas,15896,2.54781077,93307.42,441317.15,81.88,299,17541,15011,874,1433,223
Pinar del Rey,20965,2.4787025996,80117,176177.29,65.21,302,24733,20636,1561,2434,102
Apostol Santiago,5741,2.6430935377,103329.14,359761.96,90.61,280,6541,5722,259,511,49
San Andrés,16016,2.7128496503,51931.87,155263.79,66.28,304,17884,14296,1143,2425,20
San Cristobal,5011,3.0307323887,27032.16,76089.16,61.73,329,6286,5046,103,1137,0
Butarque,6117,2.8191924146,61831.43,147605.15,75.86,335,3295,2421,111,762,1
Los Rosales,13010,2.8036894696,52288.23,139067.06,64.07,304,14060,11212,639,2188,21
Los Angeles,11814,2.5606060606,58623.78,238018.69,75.9,353,13099,11529,163,1391,16
Casco Histórico de Vallecas,31536,2.546042618,63560.83,164101.94,79.49,328,13962,11634,438,1845,45
Santa Eugenia,8828,2.7332351609,57590.23,354275.93,89.73,323,9537,8600,273,627,37
Casco Histórico de Vicálvaro,18262,2.8244442011,67856.12,313998.63,81.09,285,15912,11846,497,3412,122
Ambroz,7230,2.5547717842,48593.34,200579.03,58.44,296,7926,6833,240,848,5
Simancas,10600,2.4990566038,66764.79,281083.98,68,301,10131,8112,191,1559,269
Hellín,3675,2.4027210884,63268.02,128786.04,83.15,301,4170,3883,72,214,1
Amposta,3317,2.4736207416,46987.96,76015.8,59.94,306,3906,3497,74,331,4
Arcos,8908,2.6660305344,72454.88,261434.65,74.36,315,9666,8456,114,1090,6
Rosas,10932,2.8821807538,80868.57,297203.65,91.44,287,10964,8966,380,1565,53
Rejas,6436,2.4510565569,60025.96,313401.15,99.14,329,4072,2151,389,1531,1
Canillejas,10829,2.624711423,63017.26,206289.45,79.19,292,12090,10305,317,1450,18
Salvador,4265,2.6675263775,118320.04,725868.29,107.83,272,4921,4126,219,563,13
Alameda de Osuna,7103,2.7292693228,87950.2,393566.03,83.95,318,6999,6019,309,569,102
Aeropuerto,674,2.646884273,72036.76,939452.31,51.6, - ,910,667,67,161,3
Casco Histórico de Barajas,3046,2.4008535785,83330.26,160305.35,65.21,260,3452,2487,387,478,99
Timón,4160,2.6497596154,102484.27,527618.86,71.4,330,2793,2221,206,356,10
Corralejos,2501,2.9468212715,113726.56,906416.16,99.46,273,1665,1070,178,357,60
