"id","latitude","longitude","price","accommodates","room_type","host_id"
"18287723",-3.71053449261017,40.4182632388959,31,1,"Private room","airbnb117751530"
"2750292",-3.71112281970996,40.4182312168314,56,2,"Entire home/apt","airbnb355604"
"18319192",-3.71138494268011,40.4187050682105,32,1,"Private room","airbnb117751530"
"17614912",-3.71127114722032,40.4188058915608,31,1,"Private room","airbnb117751530"
"18324275",-3.71132061013295,40.4183525907814,28,1,"Private room","airbnb117751530"
"18319194",-3.71154905543715,40.418640811406,33,1,"Private room","airbnb117751530"
"1938258",-3.71167065981267,40.4195506187289,80,3,"Entire home/apt","airbnb10005579"
"24193650",-3.71097053073108,40.4198760392871,34,1,"Private room","airbnb65190950"
"23916429",-3.71064682362674,40.4199107957934,36,1,"Private room","airbnb117750911"
"22823435",-3.71067069618734,40.4200132674197,32,1,"Private room","airbnb143666717"
"18280977",-3.71069393803665,40.4199689358707,31,1,"Private room","airbnb117751530"
"24240798",-3.71123682039657,40.4200444589398,89,4,"Entire home/apt","airbnb133946916"
"23912307",-3.71118969502165,40.4198386145914,51,1,"Private room","airbnb117750911"
"22824819",-3.7115726881776,40.4198069711559,41,1,"Private room","airbnb143666717"
"12202777",-3.71159281744752,40.4200984094375,180,8,"Entire home/apt","airbnb14001254"
"18324266",-3.71150783230601,40.4201617392162,32,1,"Private room","airbnb117751530"
"22824513",-3.71159277725816,40.420204809235,32,1,"Private room","airbnb143666717"
"1675753",-3.71216052728489,40.4197434393637,90,4,"Entire home/apt","airbnb8865288"
"5054632",-3.7119034782791,40.4192535889914,70,3,"Entire home/apt","airbnb26098399"
"11144739",-3.71240662123346,40.4190131157795,200,6,"Entire home/apt","airbnb52843794"
"20220676",-3.7127263620133,40.4207590062498,89,6,"Entire home/apt","airbnb36105510"
"18783243",-3.71202799163205,40.4207584684078,134,4,"Entire home/apt","airbnb102947901"
"6711954",-3.71261840644544,40.4210664519034,63,2,"Entire home/apt","airbnb35094417"
"4067867",-3.71259116392414,40.4211353949201,69,2,"Entire home/apt","airbnb21096719"
"13018893",-3.71280913689299,40.4211073300232,27,2,"Entire home/apt","airbnb35332889"
"13876987",-3.71286559505462,40.4215049629204,115,2,"Entire home/apt","airbnb17769261"
"3529587",-3.7129098033825,40.4225849715276,160,4,"Entire home/apt","airbnb17769261"
"15369925",-3.71174967529626,40.4216092844889,79,4,"Entire home/apt","airbnb98146353"
"13876564",-3.71163800752096,40.4217790026812,250,6,"Entire home/apt","airbnb17769261"
"23819782",-3.71136927391768,40.4217190139325,19,2,"Private room","airbnb52926325"
