"barrio","n_listings_airbnb"
"Abrantes",21
"Acacias",182
"Adelfas",67
"Aeropuerto",7
"Aguilas",20
"Alameda de Osuna",30
"Almagro",153
"Almenara",68
"Almendrales",43
"Aluche",64
"Ambroz",8
"Amposta",7
"Apostol Santiago",12
"Arapiles",152
"Aravaca",23
"Arcos",16
"Argüelles",284
"Atalaya",1
"Atocha",17
"Bellas Vistas",109
"Berruguete",79
"Buenavista",30
"Butarque",9
"Campamento",26
"Canillas",56
"Canillejas",15
"Cármenes",34
"Casa de Campo",92
"Casco Histórico de Barajas",28
"Casco Histórico de Vallecas",12
"Casco Histórico de Vicálvaro",20
"Castellana",134
"Castilla",40
"Castillejos",99
"Chopera",126
"Ciudad Jardín",67
"Ciudad Universitaria",51
"Colina",20
"Comillas",98
"Concepción",64
"Corralejos",10
"Cortes",875
"Costillares",25
"Cuatro Caminos",168
"Cuatro Vientos",5
"Delicias",147
"El Goloso",13
"El Pardo",3
"El Plantío",3
"El Viso",55
"Embajadores",2368
"Ensanche de Vallecas",32
"Entrevías",17
"Estrella",25
"Fontarrón",26
"Fuente del Berro",94
"Fuentelareina",2
"Gaztambide",167
"Goya",271
"Guindalera",235
"Hellín",10
"Hispanoamérica",80
"Horcajo",0
"Ibiza",149
"Imperial",105
"Jerónimos",99
"Justicia",1040
"La Paz",20
"Legazpi",43
"Lista",153
"Los Angeles",22
"Los Rosales",22
"Lucero",56
"Marroquina",10
"Media Legua",22
"Mirasierra",19
"Moscardó",47
"Niño Jesús",31
"Nueva España",67
"Numancia",89
"Opañel",69
"Orcasitas",7
"Orcasur",16
"Pacífico",167
"Palacio",1287
"Palomas",15
"Palomeras Bajas",39
"Palomeras Sureste",23
"Palos de Moguer",323
"Pavones",5
"Peñagrande",54
"Pilar",35
"Pinar del Rey",55
"Piovera",18
"Portazgo",35
"Pradolongo",14
"Prosperidad",121
"Pueblo Nuevo",68
"Puerta Bonita",36
"Puerta del Angel",213
"Quintana",58
"Recoletos",209
"Rejas",38
"Rios Rosas",123
"Rosas",11
"Salvador",13
"San Andrés",25
"San Cristobal",12
"San Diego",105
"San Fermín",34
"San Isidro",139
"San Juan Bautista",28
"San Pascual",20
"Santa Eugenia",4
"Simancas",61
"Sol",1186
"Timón",40
"Trafalgar",361
"Universidad",1717
"Valdeacederas",62
"Valdefuentes",73
"Valdemarín",2
"Valdezarza",30
"Vallehermoso",70
"Valverde",43
"Ventas",118
"Vinateros",14
"Vista Alegre",64
"Zofío",20
