nombre_barrio,distritos,cod_barrio,Ubicación,2010,2011,2012,2013,2014,2015,2016,2017,2018
Valdeacederas,06. TETUÁN,065,Periferia,100,99.85,100.06,100.89,98.62,97.28,98.66,99.78,101.44
Berruguete,06. TETUÁN,066,Periferia,100,99.19,98.99,98.62,96.29,95.70,97.97,98.44,99.94
Gaztambide,07. CHAMBERÍ,071,M-30,100,98.23,96.61,96.85,94.54,93.34,93.41,92.45,93.84
Arapiles,07. CHAMBERÍ,072,M-30,100,98.78,96.68,96.49,94.74,93.51,92.79,93.32,94.24
Trafalgar,07. CHAMBERÍ,073,M-30,100,98.93,96.37,96.11,94.01,93.01,93.77,93.77,94.06
Almagro,07. CHAMBERÍ,074,M-30,100,99.64,97.47,97.68,96.40,96.22,97.00,96.99,97.74
Ríos Rosas,07. CHAMBERÍ,075,M-30,100,99.64,98.71,98.45,96.55,95.47,95.44,95.57,96.61
Vallehermoso,07. CHAMBERÍ,076,M-30,100,99.16,98.81,97.73,97.06,96.60,96.92,96.59,98.27
El Pardo,08. FUENCARRAL-EL PARDO,081,Periferia,100,98.47,98.35,98.72,97.93,97.30,95.91,96.45,98.75
Fuentelarreina,08. FUENCARRAL-EL PARDO,082,Periferia,100,99.20,99.13,98.98,99.97,99.57,98.55,98.86,100.28
Peñagrande,08. FUENCARRAL-EL PARDO,083,Periferia,100,99.28,98.12,97.84,96.57,95.74,95.71,95.96,96.53
Del Pilar,08. FUENCARRAL-EL PARDO,084,Periferia,100,98.58,97.26,96.27,94.33,93.01,93.12,93.27,94.19
La Paz,08. FUENCARRAL-EL PARDO,085,Periferia,100,98.91,97.56,96.80,95.48,94.69,93.99,93.46,93.61
Valverde,08. FUENCARRAL-EL PARDO,086,Periferia,100,104.01,106.67,108.45,109.02,110.43,113.63,116.11,120.10
Mirasierra,08. FUENCARRAL-EL PARDO,087,Periferia,100,100.95,100.84,100.49,100.01,100.39,102.50,107.19,111.49
El Goloso,08. FUENCARRAL-EL PARDO,088,Periferia,100,111.65,123.89,132.80,138.76,145.47,151.11,156.63,162.03
Casa de Campo,09. MONCLOA-ARAVACA,091,Periferia,100,98.41,95.09,93.66,91.92,95.17,96.99,96.82,97.66
Argüelles,09. MONCLOA-ARAVACA,092,Periferia,100,100.22,98.07,98.45,96.86,96.06,96.30,96.29,96.84
Ciudad Universitaria,09. MONCLOA-ARAVACA,093,Periferia,100,99.42,97.46,98.29,97.89,98.79,100.28,100.49,101.09
Valdezarza,09. MONCLOA-ARAVACA,094,Periferia,100,99.08,97.96,97.05,95.57,94.84,94.54,94.04,94.86
Valdemarín,09. MONCLOA-ARAVACA,095,Periferia,100,102.99,107.59,110.89,110.12,112.37,113.29,114.85,117.78
El Plantío,09. MONCLOA-ARAVACA,096,Periferia,100,100.59,98.81,98.34,96.87,97.50,101.98,107.72,108.40
Aravaca,09. MONCLOA-ARAVACA,097,Periferia,100,100.49,99.62,99.84,99.47,99.06,99.75,100.27,102.38
Los Cármenes,09. MONCLOA-ARAVACA,101,Periferia,100,98.89,97.60,97.30,95.63,94.25,94.54,94.88,95.99
Puerta del Ángel,09. MONCLOA-ARAVACA,102,Periferia,100,98.43,96.24,94.37,91.88,89.99,89.98,90.19,91.36
Lucero,09. MONCLOA-ARAVACA,103,Periferia,100,97.64,95.55,94.59,92.41,91.12,91.14,91.09,91.88
Aluche,09. MONCLOA-ARAVACA,104,Periferia,100,98.34,96.36,95.09,92.51,90.77,90.12,89.53,90.63
Campamento,09. MONCLOA-ARAVACA,105,Periferia,100,98.78,96.43,95.51,92.91,91.74,91.51,91.33,92.67
Cuatro Vientos,09. MONCLOA-ARAVACA,106,Periferia,100,107.98,112.50,119.42,125.63,130.96,143.25,148.91,154.60
Las Águilas,09. MONCLOA-ARAVACA,107,Periferia,100,98.51,96.31,94.89,92.77,91.33,90.98,90.83,91.40
Comillas,11. CARABANCHEL,111,Periferia,100,98.41,96.77,95.04,93.08,92.18,92.52,91.82,92.93
Opañel,11. CARABANCHEL,112,Periferia,100,98.74,97.21,95.23,93.78,92.85,93.16,94.59,96.17
San Isidro,11. CARABANCHEL,113,Periferia,100,99.83,97.67,96.30,94.04,92.81,93.23,93.54,95.30
Vista Alegre,11. CARABANCHEL,114,Periferia,100,98.36,95.45,93.41,91.49,90.29,90.93,91.26,92.87
Puerta Bonita,11. CARABANCHEL,115,Periferia,100,99.27,97.03,95.10,92.48,91.16,92.17,92.71,95.71
Buenavista,11. CARABANCHEL,116,Periferia,100,101.35,102.22,102.92,102.53,102.03,103.56,105.70,108.23
Abrantes,11. CARABANCHEL,117,Periferia,100,99.05,97.23,96.04,93.76,92.94,93.22,94.15,95.72
Orcasitas,12. USERA,121,Periferia,100,100.00,99.79,99.78,99.11,98.99,99.19,99.82,100.77
Orcasur,12. USERA,122,Periferia,100,100.28,99.42,99.48,98.42,98.89,99.13,99.60,101.70
San Fermín,12. USERA,123,Periferia,100,99.21,97.96,97.31,96.03,96.52,98.12,98.51,100.00
Almendrales,12. USERA,124,Periferia,100,98.08,97.12,94.53,91.47,89.76,90.33,90.79,93.18
Moscardó,12. USERA,125,Periferia,100,99.60,96.34,93.83,91.50,90.18,91.72,91.99,93.70
Zofio,12. USERA,126,Periferia,100,97.17,94.96,93.29,91.68,90.67,90.61,92.01,94.03
Pradolongo,12. USERA,127,Periferia,100,97.84,96.52,94.24,92.84,91.93,93.49,94.03,96.68
Entrevías,13. PUENTE DE VALLECAS,131,Periferia,100,97.46,95.21,93.72,92.42,91.89,92.00,92.06,93.51
San Diego,13. PUENTE DE VALLECAS,132,Periferia,100,98.55,96.78,93.83,90.87,90.10,91.28,91.85,94.65
Palomeras Bajas,13. PUENTE DE VALLECAS,133,Periferia,100,98.58,97.08,95.98,94.19,93.16,93.03,93.23,94.24
Palomeras Sureste,13. PUENTE DE VALLECAS,134,Periferia,100,99.25,98.60,97.91,96.52,95.26,95.59,95.82,96.41
Portazgo,13. PUENTE DE VALLECAS,135,Periferia,100,100.11,99.01,96.41,94.64,93.21,93.63,93.66,94.89
Numancia,13. PUENTE DE VALLECAS,136,Periferia,100,98.76,97.64,95.54,93.77,92.40,93.01,92.89,94.53
Pavones,14. MORATALAZ,141,Periferia,100,97.52,95.37,94.29,93.41,91.93,93.88,92.74,92.76
Horcajo,14. MORATALAZ,142,Periferia,100,99.91,99.82,98.52,98.23,97.29,96.81,97.25,95.65
Marroquina,14. MORATALAZ,143,Periferia,100,98.51,97.58,95.63,93.88,92.56,92.07,91.30,91.54
Media Legua,14. MORATALAZ,144,Periferia,100,98.14,96.18,94.79,92.15,91.23,90.70,90.11,90.14
Fontarrón,14. MORATALAZ,145,Periferia,100,98.62,96.86,94.15,92.55,91.29,90.58,91.34,92.73
Vinateros,14. MORATALAZ,146,Periferia,100,98.68,97.90,96.49,94.59,92.70,92.79,92.12,92.65
Ventas,15. CIUDAD LINEAL,151,Periferia,100,97.79,96.41,94.68,92.53,90.93,91.21,90.94,92.09
Pueblo Nuevo,15. CIUDAD LINEAL,152,Periferia,100,98.50,96.81,94.94,93.06,92.07,92.32,92.48,93.86
Quintana,15. CIUDAD LINEAL,153,Periferia,100,99.10,97.94,96.40,93.38,92.38,93.30,93.18,94.38
Concepción,15. CIUDAD LINEAL,154,Periferia,100,98.35,96.92,96.01,93.71,92.67,93.15,93.58,95.13
San Pascual,15. CIUDAD LINEAL,155,Periferia,100,97.95,96.45,94.70,92.81,91.89,92.03,92.11,92.18
San Juan Bautista,15. CIUDAD LINEAL,156,Periferia,100,100.10,98.57,96.78,95.51,95.15,95.38,95.88,96.55
Colina,15. CIUDAD LINEAL,157,Periferia,100,100.43,100.21,99.71,97.20,95.91,97.55,97.91,100.70
Atalaya,15. CIUDAD LINEAL,158,Periferia,100,100.12,96.93,95.13,92.46,92.29,91.01,90.55,91.30
Costillares,15. CIUDAD LINEAL,159,Periferia,100,100.16,99.29,98.33,96.69,95.61,95.22,95.11,95.70
Palomas,16. HORTALEZA,161,Periferia,100,101.08,101.50,101.13,100.23,99.46,98.92,100.30,101.38
Piovera,16. HORTALEZA,162,Periferia,100,101.43,96.50,95.38,94.01,93.39,94.64,95.04,96.82
Canillas,16. HORTALEZA,163,Periferia,100,99.20,97.44,96.24,94.61,92.99,93.03,92.85,93.41
Pinar del Rey,16. HORTALEZA,164,Periferia,100,98.38,96.83,95.08,93.18,91.74,91.44,91.06,91.87
Apóstol Santiago,16. HORTALEZA,165,Periferia,100,99.30,98.19,97.00,96.38,95.15,95.61,95.12,95.99
Valdefuentes,16. HORTALEZA,166,Periferia,100,105.69,109.96,113.37,115.87,125.57,134.76,142.91,150.32
San Andrés,17. VILLAVERDE,171,Periferia,100,99.53,97.70,95.93,94.67,94.39,95.10,95.74,97.99
San Cristóbal,17. VILLAVERDE,172,Periferia,100,98.60,96.88,93.29,91.49,88.81,89.57,90.04,92.19
Butarque,17. VILLAVERDE,173,Periferia,100,102.01,103.64,105.46,106.57,106.46,108.85,113.03,120.09
Los Rosales,17. VILLAVERDE,174,Periferia,100,98.94,97.29,95.98,93.88,92.98,93.31,93.65,95.19
Los Ángeles,17. VILLAVERDE,175,Periferia,100,98.26,96.38,94.77,92.60,91.12,90.82,90.90,91.86
Casco Histórico de Vallecas,18. VILLA DE VALLECAS,181,Periferia,100,107.31,112.67,117.13,120.12,121.92,126.10,130.22,135.45
Santa Eugenia,18. VILLA DE VALLECAS,182,Periferia,100,98.71,96.48,95.20,93.07,92.16,91.88,90.90,91.73
Casco Histórico de Vicálvaro,19. VICÁLVARO,191,Periferia,100,100.48,100.04,99.53,98.59,98.07,98.69,99.05,100.56
Simancas,20. SAN BLAS - CANILLEJAS,201,Periferia,100,99.11,97.70,97.55,96.52,96.41,97.20,98.15,101.29
Hellín,20. SAN BLAS - CANILLEJAS,202,Periferia,100,98.09,96.17,95.28,92.61,91.10,91.44,92.37,93.80
Amposta,20. SAN BLAS - CANILLEJAS,203,Periferia,100,97.21,94.41,92.33,91.06,90.38,91.01,91.36,93.39
Arcos,20. SAN BLAS - CANILLEJAS,204,Periferia,100,98.11,97.45,96.85,95.59,94.88,95.98,96.81,97.91
Rosas,20. SAN BLAS - CANILLEJAS,205,Periferia,100,100.09,99.87,100.10,99.25,98.07,98.52,98.51,98.89
Rejas,20. SAN BLAS - CANILLEJAS,206,Periferia,100,107.46,112.01,115.52,115.65,117.25,120.70,124.45,129.24
Canillejas,20. SAN BLAS - CANILLEJAS,207,Periferia,100,97.77,96.07,94.72,92.49,91.87,91.25,91.07,91.64
El Salvador,20. SAN BLAS - CANILLEJAS,208,Periferia,100,98.76,96.28,95.88,93.45,92.29,92.33,91.90,91.37
Alameda de Osuna,21. BARAJAS,211,Periferia,100,99.26,98.04,97.12,95.54,94.67,94.08,94.38,94.84
Aeropuerto,21. BARAJAS,212,Periferia,100,96.68,94.74,92.49,87.51,82.39,81.47,82.25,82.62
Casco Histórico de Barajas,21. BARAJAS,213,Periferia,100,100.46,99.24,96.81,93.52,91.91,92.27,92.69,93.36
Timón,21. BARAJAS,214,Periferia,100,103.66,106.85,110.25,112.22,118.30,124.69,129.76,138.34
Corralejos,21. BARAJAS,215,Periferia,100,104.36,105.82,106.39,106.71,107.61,108.91,109.95,112.31
