nombre_barrio,distritos,cod_barrio,Ubicación,2010,2011,2012,2013,2014,2015,2016,2017,2018
Palacio,01. CENTRO,011,Almendra central,100,99.38,97.56,96.53,94.81,94.05,95.00,94.84,95.81
Embajadores,01. CENTRO,012,Almendra central,100,98.60,96.55,94.55,91.04,88.17,89.52,88.89,89.22
Cortes,01. CENTRO,013,Almendra central,100,100.32,98.45,97.98,96.05,94.32,95.58,94.67,94.98
Justicia,01. CENTRO,014,Almendra central,100,99.53,97.90,97.61,95.46,92.94,94.30,94.04,95.48
Universidad,01. CENTRO,015,Almendra central,100,99.40,97.45,96.94,93.79,91.54,92.10,91.69,92.53
Sol,01. CENTRO,016,Almendra central,100,100.80,96.84,96.46,92.54,90.55,91.47,90.47,89.14
Imperial,02. ARGANZUELA,021,M-30,100,99.96,99.73,99.74,98.13,97.52,97.71,97.57,98.13
Las Acacias,02. ARGANZUELA,022,M-30,100,99.58,98.38,98.20,96.98,96.00,96.16,96.31,96.76
La Chopera,02. ARGANZUELA,023,M-30,100,98.37,95.91,95.81,93.49,91.95,92.26,91.54,91.98
Legazpi,02. ARGANZUELA,024,M-30,100,103.56,107.05,109.36,110.21,112.36,115.35,118.73,120.90
Las Delicias,02. ARGANZUELA,025,M-30,100,101.16,101.02,100.75,99.10,98.09,100.00,100.55,101.69
Palos de Moguer,02. ARGANZUELA,026,M-30,100,98.51,97.51,96.89,94.03,91.68,92.25,91.87,92.83
Atocha,02. ARGANZUELA,027,M-30,100,98.31,98.60,109.27,108.57,108.87,110.77,110.57,116.35
Pacífico,03. RETIRO,031,M-30,100,98.42,97.53,96.69,95.16,93.85,94.06,93.82,94.00
Adelfas,03. RETIRO,032,M-30,100,100.26,101.14,100.96,100.03,101.24,104.00,105.27,106.72
Estrella,03. RETIRO,033,M-30,100,99.00,98.24,97.47,96.49,95.82,95.67,95.52,96.06
Ibiza,03. RETIRO,034,M-30,100,99.07,97.36,96.70,95.70,94.34,94.47,94.09,94.96
Los Jerónimos,03. RETIRO,035,M-30,100,99.37,97.85,98.42,97.14,95.98,96.37,96.67,97.35
Niño Jesús,03. RETIRO,036,M-30,100,99.58,99.11,97.42,95.90,95.93,96.27,95.80,96.69
Recoletos,04. SALAMANCA,041,M-30,100,100.34,98.81,98.91,97.63,98.08,99.00,99.19,101.13
Goya,04. SALAMANCA,042,M-30,100,99.20,97.97,97.85,96.07,95.50,96.11,96.65,97.99
Fuente del Berro,04. SALAMANCA,043,M-30,100,99.26,97.60,96.82,95.33,93.63,93.54,92.89,93.89
Guindalera,04. SALAMANCA,044,M-30,100,99.66,99.70,98.79,97.67,97.06,97.29,97.79,99.56
Lista,04. SALAMANCA,045,M-30,100,100.03,98.97,98.63,96.81,95.39,96.77,97.35,98.56
Castellana,04. SALAMANCA,046,M-30,100,100.78,99.98,101.24,100.64,99.60,100.54,101.58,101.38
El Viso,05. CHAMARTÍN,051,Periferia,100,100.99,101.70,101.84,101.36,101.30,102.73,102.99,103.81
Prosperidad,05. CHAMARTÍN,052,Periferia,100,99.06,98.16,97.32,95.61,94.34,94.76,94.59,96.00
Ciudad Jardín,05. CHAMARTÍN,053,Periferia,100,99.58,97.78,97.44,95.71,95.11,96.35,96.65,97.89
Hispanoamérica,05. CHAMARTÍN,054,Periferia,100,99.79,99.25,99.33,98.25,97.37,98.32,98.39,99.11
Nueva España,05. CHAMARTÍN,055,Periferia,100,100.06,99.90,99.53,98.18,97.92,98.90,101.26,103.10
Castilla,05. CHAMARTÍN,056,Periferia,100,100.50,99.47,98.35,97.53,95.80,95.83,96.98,98.98
Bellas Vistas,06. TETUÁN,061,Periferia,100,99.29,98.19,97.56,95.05,94.00,94.66,95.16,96.85
Cuatro Caminos,06. TETUÁN,062,Periferia,100,99.37,98.71,98.73,96.94,96.09,96.96,97.82,99.01
Castillejos,06. TETUÁN,063,Periferia,100,99.02,98.25,98.51,96.42,94.85,95.62,96.51,98.72
Almenara,06. TETUÁN,064,Periferia,100,99.01,99.19,98.89,97.93,96.83,97.36,98.31,100.64
