nombre_barrio,distritos,cod_barrio,Ubicación,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argüelles,09. MONCLOA-ARAVACA,092,Periferia,104.10,104.33,102.09,102.49,100.83,100.00,100.25,100.23,100.81
Ciudad Universitaria,09. MONCLOA-ARAVACA,093,Periferia,101.22,100.64,98.65,99.49,99.09,100.00,101.50,101.72,102.33
Valdezarza,09. MONCLOA-ARAVACA,094,Periferia,105.44,104.47,103.29,102.33,100.76,100.00,99.68,99.15,100.01
Valdemarín,09. MONCLOA-ARAVACA,095,Periferia,88.99,91.65,95.75,98.68,97.99,100.00,100.81,102.20,104.81
El Plantío,09. MONCLOA-ARAVACA,096,Periferia,102.56,103.17,101.34,100.85,99.35,100.00,104.59,110.48,111.17
Aravaca,09. MONCLOA-ARAVACA,097,Periferia,100.95,101.44,100.56,100.79,100.42,100.00,100.70,101.22,103.35
Los Cármenes,09. MONCLOA-ARAVACA,101,Periferia,106.10,104.92,103.56,103.24,101.47,100.00,100.31,100.67,101.85
Puerta del Ángel,09. MONCLOA-ARAVACA,102,Periferia,111.12,109.38,106.94,104.86,102.09,100.00,99.98,100.22,101.52
Lucero,09. MONCLOA-ARAVACA,103,Periferia,109.74,107.15,104.86,103.80,101.41,100.00,100.02,99.96,100.83
Aluche,09. MONCLOA-ARAVACA,104,Periferia,110.17,108.34,106.17,104.76,101.93,100.00,99.29,98.64,99.85
Campamento,09. MONCLOA-ARAVACA,105,Periferia,109.01,107.68,105.11,104.12,101.27,100.00,99.76,99.56,101.01
Cuatro Vientos,09. MONCLOA-ARAVACA,106,Periferia,76.36,82.45,85.90,91.18,95.92,100.00,109.38,113.70,118.05
Las Águilas,09. MONCLOA-ARAVACA,107,Periferia,109.50,107.86,105.46,103.90,101.58,100.00,99.62,99.46,100.08
Comillas,11. CARABANCHEL,111,Periferia,108.48,106.76,104.97,103.10,100.97,100.00,100.37,99.61,100.82
Opañel,11. CARABANCHEL,112,Periferia,107.71,106.35,104.71,102.57,101.01,100.00,100.34,101.87,103.58
San Isidro,11. CARABANCHEL,113,Periferia,107.75,107.56,105.24,103.75,101.33,100.00,100.45,100.79,102.68
Vista Alegre,11. CARABANCHEL,114,Periferia,110.75,108.94,105.72,103.45,101.33,100.00,100.71,101.07,102.86
Puerta Bonita,11. CARABANCHEL,115,Periferia,109.69,108.89,106.43,104.32,101.44,100.00,101.10,101.69,104.98
Buenavista,11. CARABANCHEL,116,Periferia,98.01,99.34,100.19,100.87,100.49,100.00,101.50,103.60,106.08
Abrantes,11. CARABANCHEL,117,Periferia,107.59,106.57,104.61,103.33,100.87,100.00,100.30,101.30,102.98
Orcasitas,12. USERA,121,Periferia,101.02,101.01,100.80,100.80,100.12,100.00,100.20,100.84,101.79
Orcasur,12. USERA,122,Periferia,101.13,101.41,100.54,100.60,99.53,100.00,100.25,100.72,102.85
San Fermín,12. USERA,123,Periferia,103.61,102.79,101.50,100.82,99.49,100.00,101.66,102.06,103.61
Almendrales,12. USERA,124,Periferia,111.40,109.26,108.19,105.31,101.90,100.00,100.63,101.14,103.81
Moscardó,12. USERA,125,Periferia,110.89,110.44,106.83,104.04,101.46,100.00,101.71,102.01,103.90
Zofio,12. USERA,126,Periferia,110.29,107.17,104.73,102.90,101.12,100.00,99.94,101.48,103.71
Pradolongo,12. USERA,127,Periferia,108.78,106.43,104.99,102.51,100.99,100.00,101.69,102.29,105.16
Entrevías,13. PUENTE DE VALLECAS,131,Periferia,108.83,106.06,103.61,101.99,100.58,100.00,100.12,100.18,101.76
San Diego,13. PUENTE DE VALLECAS,132,Periferia,110.99,109.38,107.41,104.14,100.85,100.00,101.31,101.95,105.05
Palomeras Bajas,13. PUENTE DE VALLECAS,133,Periferia,107.35,105.82,104.21,103.03,101.11,100.00,99.86,100.07,101.16
Palomeras Sureste,13. PUENTE DE VALLECAS,134,Periferia,104.98,104.20,103.51,102.79,101.32,100.00,100.35,100.60,101.21
Portazgo,13. PUENTE DE VALLECAS,135,Periferia,107.29,107.40,106.22,103.43,101.53,100.00,100.45,100.48,101.81
Numancia,13. PUENTE DE VALLECAS,136,Periferia,108.22,106.88,105.67,103.39,101.48,100.00,100.66,100.53,102.31
Pavones,14. MORATALAZ,141,Periferia,108.78,106.08,103.74,102.57,101.60,100.00,102.11,100.87,100.90
Horcajo,14. MORATALAZ,142,Periferia,102.78,102.69,102.59,101.26,100.96,100.00,99.50,99.95,98.31
Marroquina,14. MORATALAZ,143,Periferia,108.04,106.42,105.42,103.32,101.42,100.00,99.47,98.64,98.90
Media Legua,14. MORATALAZ,144,Periferia,109.62,107.58,105.42,103.90,101.01,100.00,99.42,98.78,98.81
Fontarrón,14. MORATALAZ,145,Periferia,109.54,108.03,106.10,103.14,101.38,100.00,99.23,100.06,101.58
Vinateros,14. MORATALAZ,146,Periferia,107.88,106.45,105.61,104.10,102.04,100.00,100.09,99.38,99.95
Ventas,15. CIUDAD LINEAL,151,Periferia,109.97,107.54,106.02,104.12,101.75,100.00,100.30,100.01,101.27
Pueblo Nuevo,15. CIUDAD LINEAL,152,Periferia,108.61,106.98,105.14,103.12,101.07,100.00,100.27,100.44,101.94
Quintana,15. CIUDAD LINEAL,153,Periferia,108.25,107.27,106.02,104.35,101.08,100.00,101.00,100.87,102.16
Concepción,15. CIUDAD LINEAL,154,Periferia,107.91,106.13,104.59,103.60,101.13,100.00,100.52,100.98,102.66
San Pascual,15. CIUDAD LINEAL,155,Periferia,108.83,106.60,104.96,103.06,101.00,100.00,100.16,100.24,100.32
San Juan Bautista,15. CIUDAD LINEAL,156,Periferia,105.09,105.20,103.59,101.71,100.37,100.00,100.24,100.77,101.47
Colina,15. CIUDAD LINEAL,157,Periferia,104.27,104.72,104.49,103.97,101.35,100.00,101.72,102.08,105.00
Atalaya,15. CIUDAD LINEAL,158,Periferia,108.35,108.48,105.03,103.08,100.19,100.00,98.62,98.12,98.93
Costillares,15. CIUDAD LINEAL,159,Periferia,104.59,104.75,103.84,102.84,101.12,100.00,99.59,99.47,100.09
Palomas,16. HORTALEZA,161,Periferia,100.54,101.63,102.05,101.68,100.77,100.00,99.46,100.85,101.93
Piovera,16. HORTALEZA,162,Periferia,107.08,108.61,103.33,102.14,100.66,100.00,101.34,101.76,103.68
Canillas,16. HORTALEZA,163,Periferia,107.53,106.67,104.78,103.50,101.74,100.00,100.04,99.84,100.45
Pinar del Rey,16. HORTALEZA,164,Periferia,109.01,107.24,105.55,103.64,101.57,100.00,99.67,99.26,100.15
Apóstol Santiago,16. HORTALEZA,165,Periferia,105.09,104.35,103.19,101.94,101.28,100.00,100.48,99.96,100.88
Valdefuentes,16. HORTALEZA,166,Periferia,79.64,84.17,87.57,90.28,92.28,100.00,107.32,113.80,119.71
San Andrés,17. VILLAVERDE,171,Periferia,105.94,105.44,103.51,101.63,100.29,100.00,100.75,101.43,103.81
San Cristóbal,17. VILLAVERDE,172,Periferia,112.60,111.02,109.08,105.04,103.01,100.00,100.85,101.38,103.81
Butarque,17. VILLAVERDE,173,Periferia,93.94,95.83,97.35,99.06,100.11,100.00,102.25,106.18,112.81
Los Rosales,17. VILLAVERDE,174,Periferia,107.55,106.41,104.64,103.23,100.97,100.00,100.35,100.72,102.38
Los Ángeles,17. VILLAVERDE,175,Periferia,109.75,107.84,105.77,104.01,101.63,100.00,99.68,99.76,100.82
Casco Histórico de Vallecas,18. VILLA DE VALLECAS,181,Periferia,82.02,88.01,92.41,96.07,98.52,100.00,103.43,106.81,111.09
Santa Eugenia,18. VILLA DE VALLECAS,182,Periferia,108.51,107.11,104.69,103.30,100.99,100.00,99.70,98.64,99.53
Casco Histórico de Vicálvaro,19. VICÁLVARO,191,Periferia,101.97,102.45,102.01,101.48,100.53,100.00,100.63,100.99,102.53
Simancas,20. SAN BLAS - CANILLEJAS,201,Periferia,103.72,102.80,101.34,101.18,100.12,100.00,100.81,101.80,105.07
Hellín,20. SAN BLAS - CANILLEJAS,202,Periferia,109.77,107.67,105.57,104.59,101.67,100.00,100.38,101.40,102.96
Amposta,20. SAN BLAS - CANILLEJAS,203,Periferia,110.64,107.55,104.46,102.16,100.75,100.00,100.70,101.08,103.33
Arcos,20. SAN BLAS - CANILLEJAS,204,Periferia,105.40,103.41,102.71,102.08,100.75,100.00,101.16,102.04,103.20
Rosas,20. SAN BLAS - CANILLEJAS,205,Periferia,101.96,102.06,101.84,102.07,101.20,100.00,100.45,100.44,100.83
Rejas,20. SAN BLAS - CANILLEJAS,206,Periferia,85.29,91.66,95.54,98.53,98.64,100.00,102.95,106.14,110.23
Canillejas,20. SAN BLAS - CANILLEJAS,207,Periferia,108.85,106.42,104.58,103.10,100.68,100.00,99.32,99.14,99.75
El Salvador,20. SAN BLAS - CANILLEJAS,208,Periferia,108.36,107.01,104.32,103.89,101.26,100.00,100.04,99.58,99.01
Alameda de Osuna,21. BARAJAS,211,Periferia,105.63,104.84,103.56,102.59,100.92,100.00,99.38,99.70,100.19
Aeropuerto,21. BARAJAS,212,Periferia,121.38,117.35,115.00,112.26,106.21,100.00,98.88,99.83,100.28
Casco Histórico de Barajas,21. BARAJAS,213,Periferia,108.80,109.29,107.97,105.32,101.75,100.00,100.39,100.84,101.57
Timón,21. BARAJAS,214,Periferia,84.53,87.62,90.32,93.19,94.86,100.00,105.39,109.68,116.94
Corralejos,21. BARAJAS,215,Periferia,92.93,96.98,98.34,98.86,99.17,100.00,101.21,102.18,104.37
