id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,name,img
onlyap532548,https://www.only-apartments.es/_/532548,-3.6982555,40.4129146,2017-11-30 19:56:38.185000,2018-04-15 02:38:09.878000,onlyap532548,Apartamento,,4,,1,,Apartamento M (AMD5) Museo del Prado Madrid Centro Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/43/68/53/20001574536843-6ab8015d-6b46-40d8-8f9d-25287411035c.jpg
onlyap402917,https://www.only-apartments.es/_/402917,-3.6984996999999566,40.41272379999999,2017-11-30 19:56:38.186000,2018-04-14 19:38:59.698000,onlyap402917,Apartamento,,10,3,3,,Apartamento CASA AMOR DE DIOS-HUERTAS Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/95/64/66/20001573666495-c14e29d1-3a3c-4ed7-8693-16a0c1de1b63.jpg
onlyap685667,https://www.only-apartments.es/_/685667,-3.698558300000059,40.4120331,2017-11-30 19:56:38.185000,2018-01-04 15:17:21.869000,onlyap685667,Apartamento,,2,,1,,Apartamento Atocha 14 Madrid,https://lh3.googleusercontent.com/XgllvrcTfIDZ7_YE_fWLMt5Xh9wJDLQmfqMLYp48K2wDmaLte4hLw5DuYGz_99oVSF0MjnGbC6rTWHnGyR3Fyq6YFQy-rt6a-g=s1042
onlyap401967,https://www.only-apartments.es/_/401967,-3.69871,40.41122,2017-11-30 19:56:38.185000,2018-04-14 20:49:16.978000,onlyap401967,Apartamento,,12,2,3,,Apartamento PENTH. ANTON MARTIN ROOFTOP TERRACE Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/49/49/66/20001573664949-f80cb28a-1aea-4d6d-aad2-5df86f6b50aa.jpg
onlyap509379,https://www.only-apartments.es/_/509379,-3.70014,40.41123,2017-11-30 19:56:38.186000,2018-04-14 22:22:56.918000,onlyap509379,Apartamento,,4,5,1,,Apartamento CENTRO MERCADO ANTON MARTIN Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/81/66/66/20001573666681-3a47397b-9cfa-4105-8c77-006d43bc0669.jpg
onlyap674530,https://www.only-apartments.es/_/674530,-3.6999188,40.4122973,2018-03-31 17:55:31.685000,2018-04-14 21:14:11.283000,onlyap674530,Apartamento,,10,,4,,Apartamento The Paseo del Arte IV apartment in Madrid Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/87/80/22/20001575228087-b59cb5f7-f238-40ce-9f49-f7ea9ba69865.jpg
onlyap445345,https://www.only-apartments.es/_/445345,-3.69945,40.412153,2017-11-30 19:56:38.185000,2018-01-04 15:16:55.525000,onlyap445345,Apartamento,,6,,3,,Apartamento GRAN PISO ATOCHA CENTRO LUX Madrid,https://lh3.googleusercontent.com/q8i7SUjFjElUf1iO7dKe5ILme7L_3uDPz_wmYOtTRVHVNF7rUTMOhA1pfLo9z7t4E98xB70GPHfJAuCud6IjT-yUocJ9kXmR5OE=s1068
onlyap456710,https://www.only-apartments.es/_/456710,-3.69945,40.412153,2017-11-30 19:56:38.186000,2018-01-04 15:27:54.693000,onlyap456710,Apartamento,,6,,3,,Apartamento APARTAMENTO ATOCHA-LAS LETRAS Madrid,https://lh3.googleusercontent.com/BIatZ58BMaaVttfXr3cq1LKAlKK-cKlLz5jq6dGrCsSIWz7HgjeI6pX2WlZBcWVyaRgRNQWbDjWU1LaTjOV0czYue6VVmprBfzeA=s1042
onlyap680391,https://www.only-apartments.es/_/680391,-3.6999054,40.412896,2017-11-30 19:56:38.186000,2018-04-14 18:45:41.208000,onlyap680391,Apartamento,,6,,1,,Apartamento Atocha Boutique - Barrio de las Letras Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/73/8/27/20001575270873-07b1c940-194c-4a9e-a8fb-e8394fcfb833.jpg
onlyap680392,https://www.only-apartments.es/_/680392,-3.6999054,40.412896,2017-11-30 19:56:38.186000,2018-04-15 01:33:50.889000,onlyap680392,Apartamento,,4,,1,,Apartamento Atocha Corner - Barrio de las Letras Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/72/8/27/20001575270872-1d9b486f-a260-4a6e-9a07-930d6ad93fea.jpg
onlyap685896,https://www.only-apartments.es/_/685896,-3.6999054,40.412896,2017-11-30 19:56:38.185000,2018-04-14 19:03:50.907000,onlyap685896,Apartamento,,6,,1,,Apartamento Atocha Museos. Barrio de las letras Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/64/1/28/20001575280164-6f286ca6-9e2e-4cd8-9ba0-dd94dd4bb0bb.jpg
onlyap685897,https://www.only-apartments.es/_/685897,-3.6997551962952,40.412765298203,2017-11-30 19:56:38.186000,2018-04-15 01:31:33.324000,onlyap685897,Apartamento,,4,,2,,Apartamento Atocha Peatonal - Barrio de las letras Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/65/1/28/20001575280165-ce1cb249-041e-4cb5-af64-eba57e01f5fe.jpg
onlyap555366,https://www.only-apartments.es/_/555366,-3.702395,40.411746,2018-03-31 17:55:18.727000,2018-04-14 20:10:23.456000,onlyap555366,Apartamento,,6,1,2,,Apartamento The Tirso apartment in Madrid Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/66/34/67/20001574673466-e4b37108-23b4-44e4-a39d-a31e4509e0d9.jpg
onlyap751989,https://www.only-apartments.es/_/751989,-3.7017413,40.4116966,2018-03-31 17:54:40.512000,2018-04-15 03:34:34.851000,onlyap751989,Apartamento,,5,,3,,"Apartamento Casa del Olivar en Madrid, Madrid Madrid",https://images.cerbium.cloud/migoa/tr:n-big/pictures/53/75/69/20001575697553-19108b7b-4c4d-46ae-a8f1-31b35f408219.jpg
onlyap448141,https://www.only-apartments.es/_/448141,-3.701791,40.411066,2017-11-30 19:56:38.186000,2018-04-15 02:58:13.517000,onlyap448141,Apartamento,,4,2,2,,Apartamento Apartamento LOREN Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/49/22/88/20001573882249-0dad73e7-394c-4391-a2e8-87df65d2337b.jpg
onlyap564869,https://www.only-apartments.es/_/564869,-3.70226,40.41109,2017-11-30 19:56:38.186000,2018-04-14 18:04:43.944000,onlyap564869,Apartamento,,6,1,2,,Apartamento Superb Apartment just Refurbished at City Center Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/55/49/72/20001574724955-b1c2e2a5-ef78-4660-a3a6-07f1e35ee9d2.jpg
onlyap674399,https://www.only-apartments.es/_/674399,-3.70048,40.4115443,2018-03-31 17:55:27.545000,2018-04-14 20:50:14.875000,onlyap674399,Apartamento,,8,,3,,Apartamento The Baudelaire III Apartment in Madrid Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/56/79/22/20001575227956-e4075394-0ea4-48fd-aae9-55b5b9836595.jpg
onlyap402452,https://www.only-apartments.es/_/402452,-3.70161,40.40999,2017-11-30 19:56:38.186000,2018-04-15 01:43:54.463000,onlyap402452,Apartamento,,4,,1,,Apartamento APTO OLIVAR WIFI Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/3/62/66/20001573666203-9f3018e0-35c0-48fe-8704-92bafaa36ebe.jpg
onlyap402265,https://www.only-apartments.es/_/402265,-3.7022852,40.4097383,2017-11-30 19:56:38.185000,2018-04-15 03:05:21.047000,onlyap402265,Apartamento,,6,16,2,,Apartamento PLAZA LAVAPIES Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/12/51/66/20001573665112-c7d49193-58c8-4209-b9fe-8b40df82f6a0.jpg
onlyap685894,https://www.only-apartments.es/_/685894,-3.7019556,40.4087781,2017-11-30 19:56:38.185000,2018-01-04 15:16:03.150000,onlyap685894,Apartamento,,4,,1,,"Apartamento Forever Young Apartments, Sombrerete Madrid",https://lh3.googleusercontent.com/eTVM5TO3QK25W9yFz2BK4QyW1eAFOlSGKEE1Mo27mjBuL_QF1_U9G7Me1E27B6cx-LPAa-1JQWDt7DtF_j_Hj-rETWoCKdCAhw=s1234
onlyap699846,https://www.only-apartments.es/_/699846,-3.69982,40.407958,2018-03-31 17:54:43.978000,2018-04-15 03:38:14.173000,onlyap699846,Apartamento,,5,,1,,Apartamento Piso decorado con Amor Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/69/13/37/20001575371369-4e68822d-94a4-4c6a-8bad-da6498ba7aea.jpg
onlyap689963,https://www.only-apartments.es/_/689963,-3.6993528576721,40.408449389821,2017-11-30 19:56:38.186000,2018-01-04 15:24:25.601000,onlyap689963,Apartamento,,4,,1,,"Apartamento Forever Young Apartments, Salitre Madrid",https://lh3.googleusercontent.com/9NxMo4PXBxP1sWDPcWsnwZpnXmVd-c9uhGIaRtQJ8g3Z4srFRZbBkj7vB0_Fq3pM6f1oFOpiFkfGzULU_70xR7SHk9feWbTkKk_I=s1042
onlyap668318,https://www.only-apartments.es/_/668318,-3.6995205693115,40.408529738771,2017-11-30 19:56:38.186000,2018-01-04 15:25:32.627000,onlyap668318,Apartamento,,4,,1,,"Apartamento Alterhome, Salitre 46 Madrid",https://lh3.googleusercontent.com/NTZOCQaKETx7qpsE_N_G009pzJ5Ok1-IgqJ7IOqgoNTLmRnMiKosisxV0IykeQNaYGbAAsdi_Wcqxj7L2HhpM3fi9aWQcvf8STE=s1057
onlyap749503,https://www.only-apartments.es/_/749503,-3.69954529999995,40.4083525,2018-03-31 17:54:22.586000,2018-04-15 01:43:56.150000,onlyap749503,Apartamento,,4,,1,,Apartamento Sweet Inn Apartments - Argumosa Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/3/7/67/20001575670703-a626a95a-78f6-45b9-b113-a519dc7c966e.jpg
onlyap737857,https://www.only-apartments.es/_/737857,-3.6986994,40.4094128,2017-11-30 19:56:38.186000,2018-01-04 15:25:27.126000,onlyap737857,Apartamento,,2,,1,,Apartamento BEAUTIFUL PENTHOUSE FOR 2 PEOPLE Madrid,https://lh3.googleusercontent.com/WyGvAL0SybSRE1QkKrR45GGGzEWivLJXMyXdjnPY1bDI8w5qcSSckuv15u7iQZM9hfvXhMqihVdj9rngyDaITuUZJslUFzdX7w=s1042
onlyap749769,https://www.only-apartments.es/_/749769,-3.698652,40.407123,2018-03-31 17:54:29.300000,2018-04-15 02:20:14.911000,onlyap749769,Apartamento,,4,,1,,Apartamento The Reina Sofia V apartment in Madrid Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/65/45/67/20001575674565-f5f21e10-9255-4b38-9b86-327a03147681.jpg
onlyap532549,https://www.only-apartments.es/_/532549,-3.6985631,40.4059046,2018-03-31 17:54:32.474000,2018-04-15 02:29:39.073000,onlyap532549,Apartamento,,4,,1,,Apartamento M (ATO35) CENTRO MADRID CERVANTES Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/44/68/53/20001574536844-17610bc6-cf6b-47cf-9388-d039c73dcdec.jpg
onlyap402698,https://www.only-apartments.es/_/402698,-3.70001,40.40743,2017-11-30 19:56:38.185000,2018-04-15 03:04:30.202000,onlyap402698,Apartamento,,6,1,1,,Apartamento DOWNTOWN APT. REINA SOFIA MUSEUM Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/37/69/66/20001573666937-fcef130b-6d25-4df0-9797-1d4898639219.jpg
onlyap665889,https://www.only-apartments.es/_/665889,-3.7006454,40.4068388,2017-11-30 19:56:38.185000,2018-04-15 01:31:35.487000,onlyap665889,Apartamento,,4,,1,,Apartamento Downtown Select - MADFlats Collection Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/87/26/14/20001575142687-5446f9a6-e8fa-4411-a7c0-705d563e5399.jpg
onlyap507196,https://www.only-apartments.es/_/507196,-3.6969,40.40506,2017-11-30 19:56:38.186000,2018-04-14 22:12:36.825000,onlyap507196,Apartamento,,4,5,1,,Apartamento Paseo del Arte en Madrid para 4 con WiFi y AC Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/26/65/35/20001574356526-38d36a44-10ae-4cdb-a1d6-7b9532b2ad10.jpg
